Libellé;Type;Description;Image;Sources
Abricot;Fruit;;abricot.jpg;
Ail;Légume;;ail.jpg;
Amande;Fruit;;amande.jpg;
Aneth;Plante aromatique;;aneth.jpg;
Artichaut;Légume;;artichaut.jpg;
Asperge;Légume;;asperge.jpg;
Aubergine;Légume;;aubergine.jpg;
Banane;Fruit;;banane.jpg;
Basilic;Plante aromatique;;basilic.jpg;
Betterave;Légume;;betterave.jpg;
Blette;Légume;;blette.jpg;
Brocoli;Légume;;brocoli.jpg;
Brugnon;Fruit;;brugnon.jpg;
Carotte;Légume;;carotte.jpg;
Cassis;Fruit;;cassis.jpg;
Céleri-branche;Légume;;celeri-branche.jpg;
Céleri-rave;Légume;;celeri-rave.jpg;
Cerise;Fruit;;cerise.jpg;
Châtaigne;Fruit;;chataigne.jpg;
Chicorée;?;;chicoree.jpg;
Chou cabus;Légume;;chou-cabus.jpg;fr:Utilisateur:Anto de fr.wikipedia.org
Chou de Bruxelles;Légume;;chou-de-bruxelles.jpg;
Chou frisé;Légume;;chou-frise.jpg;
Chou romanesco;Légume;;chou-romanesco.jpg;
Chou rouge;Légume;;chou-rouge.jpg;
Chou-fleur;Légume;;chou-fleur.jpg;
Ciboulette;Plante aromatique;;ciboulette.jpg;
Citron;Fruit;;citron.jpg;
Citron vert;Fruit;;citron-vert.jpg;
Citrouille;Légume;;citrouille.jpg;
Clémentine;Fruit;;clementine.jpg;
Coing;Fruit;;coing.jpg;
Concombre;Légume;;concombre.jpg;
Coriandre;Plante aromatique;;coriandre.jpg;
Cornichon;Légume;;cornichon.jpg;
Courge butternut;Légume;;butternut.jpg;
Courge musquée;Légume;;courge-musquee.jpg;Spedona de fr.wikipedia.org
Courge spaghetti;Légume;;courge-spaghetti.jpg;Derek Ramsey (Ram-Man) de  fr.wikipedia.org
Courgette;Légume;;courgette.jpg;
Cresson;Légume;;cresson.jpg;
Échalote;Légume;;echalote.jpg;
Endive;Légume;;endive.jpg;
Épinard;Légume;;epinard.jpg;
Estragon;Plante aromatique;;estragon.jpg;
Fenouil;Légume;;fenouil.jpg;
Fève;Légume;;feve.jpg;
Figue;Fruit;;figue.jpg;
Fraise;Fruit;;fraise.jpg;
Fraise des bois;Fruit;;fraise-des-bois.jpg;
Framboise;Fruit;;framboise.jpg;
Framboise jaune;Fruit;;framboise-jaune.jpg;
Groseille;Fruit;;groseille.jpg;
Haricot vert;Légume;;haricot.jpg;
Kiwi;Fruit;;kiwi.jpg;
Laitue Batavia;Légume;;laitue batavia.jpg;
Laitue romaine;Légume;;laitue-romaine.jpg;
Laurier;Plante aromatique;;laurier.jpg;
Lentille;Légume;;lentilles.jpg;
Mâche;Légume;;mache.jpg;
Maïs;Légume;;mais.jpg;
Mandarine;Fruit;;mandarine.jpg;
Melon;Fruit;;melon.jpg;
Menthe;Plante aromatique;;menthe.jpg;
Mirabelle;Fruit;;mirabelle.jpg;
Mûre;Fruit;;mure.jpg;
Myrtille;Fruit;;myrtille.jpg;
Navet;Légume;;navet.jpg;
Nectarine;Fruit;;nectarine.jpg;
Noix;Fruit;;noix.jpg;
Oignon;Légume;;oignon.jpg;
Orange;Fruit;;orange.jpg;
Orange sanguine;Fruit;;orange-sanguine.jpg;
Origan;Plante aromatique;;origan.jpg;
Oseille;Fruit;;oseille.jpg;
Panais;Légume;;panais.jpg;
Pastèque;Fruit;;pasteque.jpg;
Pâtisson;Légume;;patisson.jpg;Rameshng, fr.wikipedia.org
Pêche;Fruit;;peche.jpg;
Persil;Plante aromatique;;persil.jpg;
Petits-pois;Légume;;petits-pois.jpg;
Piment;Légume;;piment.jpg;
Poire;Fruit;;poire.jpg;
Poireau;Légume;;poireau.jpg;
Poivron;Légume;;poivron.jpg;
Pomelo;Fruit;;pomelo.jpg;
Pomme;Fruit;;pomme.jpg;
Pomme de terre;Légume;;pomme-de-terre.jpg;
Potimarron;Légume;;potimarron.jpg;INRA DIST from France — POTIMARONS-1-INRA-cliche Jean Weber
Potiron;Légume;;potiron.jpg;
Prune;Fruit;;prune.jpg;
Quetsche;Fruit;;quetsche.jpg;
Radis;Légume;;radis.jpg;
Radis noir;Légume;;radis-noir.jpg;Original uploader was Limesle at fr.wikipedia
Raisin;Fruit;;raisin.jpg;
Rhubarbe;Légume;;rhubarbe.jpg;
Salsifi;Légume;;salsifi.jpg;
Sarriette;Plante aromatique;;sarriette.jpg;Dezidor at fr.wikipedia
Sauge;Plante aromatique;;sauge.jpg;David Monniaux — Travail personnel at fr.wikipedia
Scarole;Légume;;scarole.jpg;rawpixel.com 
Tomate;Légume;;tomate.jpg;
Topinambour;Légume;;topinambour.jpg;
